LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA48540,0,0,0,151,27,175,0,0,0,0,0,0,36,37,79,3141,2926,6068,256,243,498,25,3,31,65,5,70,88,9,95,30,14,46,109,138,246,3906,3399,7307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12,90,0,3,3,7,0,7,89,18,103,36,25,60,128,41,166,0,0,0,0,0,0,6,0,9,9,0,8,70,104,170,593,576,1173,29,21,49,4733,4143,8870
LGA48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,146,311,7,7,18,5,0,5,0,0,0,6,0,6,3,0,10,31,27,58,220,185,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,52,103,18,26,42,6,4,9,294,267,565
LGA48750,0,3,6,4,0,12,0,0,0,0,0,0,0,0,0,719,669,1389,28,39,68,24,0,26,6,0,6,5,0,5,14,11,28,41,40,83,847,769,1616,0,3,3,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,15,15,11,26,0,0,0,0,0,0,0,0,0,0,0,0,167,170,339,120,156,283,11,15,24,1167,1121,2291
LGA48830,0,0,0,12,0,11,0,0,0,4,0,4,0,0,0,1294,1092,2389,47,67,118,51,0,51,8,0,8,8,3,12,49,9,57,215,146,355,1683,1319,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,17,3,18,0,0,0,0,0,0,0,0,0,0,0,0,315,295,614,187,287,484,34,17,48,2242,1923,4168
LGA49399,0,0,0,53,4,60,0,0,0,0,0,0,0,0,0,272,165,441,36,27,64,13,0,13,4,0,9,6,0,3,78,13,93,178,164,347,636,380,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,16,5,21,15,8,25,0,0,0,0,0,0,0,0,0,0,0,0,131,102,230,56,55,108,30,16,43,865,559,1424
LGA49499,0,5,6,16,11,30,0,0,0,0,0,0,0,3,4,221,115,333,29,30,53,6,0,6,0,0,0,0,0,0,13,3,18,23,21,43,308,184,492,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,7,5,5,0,5,3,4,8,0,4,0,0,0,0,0,0,0,0,4,0,29,38,70,63,80,134,10,3,11,419,311,724
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
LGA50080,0,0,0,108,26,131,0,0,0,0,0,0,18,13,36,6280,5967,12255,419,494,917,121,0,128,39,8,49,69,19,90,119,31,146,199,178,374,7382,6741,14126,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,7,9,0,0,5,0,0,3,13,9,19,67,45,113,80,58,139,0,3,3,6,0,6,4,0,4,7,3,9,487,661,1149,908,1175,2086,56,37,91,8925,8676,17599
LGA50210,445,478,915,341,154,500,9,0,9,0,0,6,66,47,112,16419,13560,29980,930,993,1926,273,14,287,92,7,103,70,15,79,518,140,661,207,184,397,19380,15593,34968,237,268,501,0,0,0,0,0,0,285,206,494,26,35,63,20,12,26,567,522,1089,0,0,0,0,0,0,9,23,30,10,21,36,22,4,29,46,49,96,207,74,279,822,643,1461,93,149,243,22,9,30,12,0,13,123,160,276,989,1524,2508,2171,2866,5044,112,77,187,23594,20859,44453
LGA50250,0,6,5,688,186,870,0,0,0,0,0,0,4,6,10,811,600,1407,146,83,231,18,7,28,8,3,14,11,34,45,163,39,205,111,158,267,1955,1116,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,5,0,7,19,0,21,30,13,39,20,22,36,47,28,83,0,0,0,12,4,14,0,0,0,12,4,23,27,82,105,313,192,501,27,18,42,2387,1444,3828
LGA50280,0,0,0,83,15,97,0,0,0,0,0,0,0,0,0,2358,2373,4729,208,168,375,54,0,54,9,0,17,70,33,96,125,26,152,166,162,329,3079,2773,5859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,5,3,8,3,9,51,28,79,60,33,95,0,0,0,6,0,6,0,0,0,5,0,4,449,588,1033,605,633,1238,40,26,71,4245,4049,8297
LGA50350,197,213,409,69,48,114,0,0,0,0,0,0,12,21,31,2560,2392,4945,140,181,316,34,3,38,22,4,23,61,13,76,74,21,93,39,45,86,3210,2941,6152,36,42,77,0,0,0,0,0,0,28,27,57,4,7,19,4,11,13,69,92,163,0,0,0,0,0,0,3,4,11,4,3,3,9,4,10,10,12,20,29,10,37,108,112,223,11,22,32,5,0,5,0,0,0,20,23,40,335,357,689,396,576,976,17,6,22,4083,4014,8098
LGA50420,560,538,1102,884,866,1741,3,0,7,3,0,4,105,101,199,12025,10216,22241,641,1000,1644,143,5,146,103,9,109,346,93,436,337,95,433,192,162,355,15338,13082,28414,154,182,337,0,0,0,0,0,0,113,115,230,16,31,46,12,12,19,295,341,636,0,0,0,0,0,3,56,57,116,28,58,86,30,17,43,113,134,252,148,93,239,553,571,1124,43,57,96,14,8,25,9,0,9,68,68,132,1227,1499,2726,1652,2370,4023,80,47,133,18919,17633,36553
LGA50490,75,89,164,723,672,1398,0,0,4,0,0,0,102,80,186,7617,5993,13612,453,706,1157,86,0,91,53,9,62,128,19,144,319,98,413,163,144,305,9731,7820,17543,78,75,151,0,0,0,0,0,0,50,61,103,8,10,18,4,0,3,133,146,279,0,0,0,0,0,0,28,33,55,13,37,51,23,19,39,64,88,153,101,47,151,304,275,581,18,48,64,22,24,40,3,3,3,47,69,120,581,662,1241,1101,1248,2354,85,42,126,11855,10113,21968
LGA50560,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,176,171,354,3,12,18,13,0,13,0,0,0,0,3,3,15,5,19,22,14,36,237,202,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,55,52,109,40,46,88,5,5,10,344,311,651
LGA50630,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,283,203,484,11,5,10,5,0,5,3,0,3,4,0,4,0,0,0,9,25,36,335,236,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,7,0,7,4,0,3,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,26,40,58,75,132,4,3,8,428,333,759
LGA50770,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,194,174,373,6,13,19,7,0,7,4,0,4,0,0,0,9,5,13,25,15,44,257,214,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,123,101,226,42,48,84,11,0,14,439,372,807
LGA50840,0,0,0,29,8,36,0,0,0,0,0,0,0,0,0,693,668,1361,47,54,95,20,0,22,0,3,3,0,0,0,21,4,25,48,40,86,859,783,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,11,7,13,10,8,21,0,0,0,0,0,0,0,0,0,0,0,0,117,145,261,153,163,315,8,5,18,1157,1105,2261
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,97,208,4,6,13,4,0,4,3,0,3,0,0,0,4,0,3,20,21,43,146,131,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,27,66,19,17,37,3,0,0,212,179,395
LGA50980,0,3,7,57,23,85,0,0,0,0,0,0,7,6,14,2259,2506,4769,198,298,491,30,0,37,83,38,123,120,93,208,96,36,126,263,339,600,3117,3341,6451,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,6,4,10,32,22,59,36,36,70,0,0,0,0,0,0,0,0,0,0,0,0,149,250,394,389,482,871,60,51,103,3739,4149,7893
LGA51080,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,131,113,249,11,3,11,3,0,3,0,0,0,0,0,3,3,5,4,27,18,45,178,147,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,46,113,16,15,27,4,0,0,269,202,466
LGA51120,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,124,94,224,4,4,11,0,0,0,0,0,0,5,0,4,11,0,15,20,18,39,174,125,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,67,15,15,32,0,5,3,233,179,411
LGA51190,9,5,12,153,47,199,0,0,0,0,0,0,21,22,43,5132,4913,10036,463,478,940,53,5,54,31,4,34,98,30,130,116,42,158,175,191,365,6245,5734,11979,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,5,0,0,0,0,0,0,53,18,78,9,5,13,8,0,15,69,33,98,91,29,122,161,69,225,0,0,0,8,4,16,4,0,8,14,3,18,213,370,587,794,970,1760,54,24,76,7482,7166,14644
LGA51260,0,4,7,182,38,216,3,0,3,0,0,0,22,10,30,5944,5969,11915,457,471,931,95,5,101,13,0,13,149,60,207,229,48,274,237,225,462,7338,6824,14163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,10,21,5,4,7,19,3,18,37,13,47,93,22,114,130,40,171,0,0,0,17,0,21,4,0,10,22,0,26,682,1052,1736,1313,1432,2744,56,62,124,9546,9417,18958
LGA51310,161,144,310,443,334,774,0,0,0,0,0,0,39,34,74,4374,3918,8300,251,351,608,25,3,32,40,4,41,295,93,391,92,27,119,196,184,382,5927,5095,11021,42,47,92,0,0,0,0,0,0,30,15,40,7,5,14,11,6,17,81,75,160,0,0,0,0,0,0,22,17,38,13,18,24,11,10,18,43,42,87,46,29,78,175,150,327,11,18,34,9,5,13,5,0,9,28,26,51,915,1022,1938,607,1001,1611,20,12,37,7677,7311,14988
LGA51330,499,554,1046,691,749,1440,0,0,3,0,0,4,108,105,217,17244,13413,30657,784,1368,2157,177,5,181,100,11,109,205,59,266,418,93,509,226,224,449,20458,16584,37035,661,570,1229,0,0,0,0,0,0,223,170,393,38,53,87,23,8,36,950,805,1753,0,0,0,0,0,0,47,45,85,27,90,121,29,26,53,108,156,263,202,121,326,1257,1080,2339,208,183,387,35,21,59,11,7,22,254,211,464,1471,1627,3101,2123,2779,4903,121,80,201,25681,22361,48045
LGA51400,0,5,5,113,28,144,0,0,0,0,0,0,4,0,10,3112,3074,6183,216,243,460,67,3,70,19,3,21,21,12,31,85,16,107,59,49,105,3703,3428,7127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,15,43,4,5,9,3,0,8,42,20,59,56,25,79,98,45,139,0,0,3,7,4,16,0,0,0,11,3,12,200,304,504,572,653,1230,26,21,42,4605,4454,9068
LGA51470,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,85,67,147,4,3,3,5,0,5,0,0,0,4,0,7,3,0,3,9,11,21,114,83,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,26,9,14,19,0,0,0,144,106,252
LGA51540,0,0,0,57,8,65,0,0,0,0,0,0,0,0,3,594,617,1205,59,85,145,20,4,25,14,0,11,23,16,43,15,5,18,117,148,270,904,895,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,8,15,15,8,22,0,0,0,0,0,0,3,0,3,3,0,3,122,107,224,99,109,204,20,16,33,1148,1129,2279
LGA51610,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,241,224,468,10,11,21,5,0,5,0,0,0,0,0,0,15,4,16,17,11,30,306,255,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,80,50,51,108,0,0,0,394,352,747
LGA51680,0,0,0,27,7,33,0,0,0,0,0,0,0,0,0,954,852,1809,50,58,109,42,0,44,10,0,5,0,0,3,54,15,69,42,27,69,1178,964,2140,0,0,0,0,0,0,0,0,0,6,6,17,0,5,5,0,0,0,6,8,17,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,6,0,7,11,7,16,28,15,42,0,0,0,4,0,4,0,0,0,3,0,6,132,188,323,196,162,358,16,9,22,1546,1347,2893
LGA51710,0,0,0,20,25,49,0,0,0,0,0,0,0,0,0,324,208,533,9,38,51,3,0,3,10,3,15,3,0,0,0,3,8,8,16,21,384,287,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,5,0,5,4,0,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,14,20,20,31,53,5,6,11,427,345,771
LGA51750,186,125,307,101,99,204,0,0,0,0,0,0,3,11,13,1434,1388,2813,84,129,217,9,0,9,18,7,26,96,27,122,21,16,36,93,78,173,2044,1882,3930,28,26,49,0,0,0,0,0,0,8,9,14,0,11,7,0,0,5,35,40,79,0,0,0,0,0,0,0,4,4,0,3,3,0,0,4,0,8,11,20,14,32,56,62,118,3,0,8,0,0,0,0,0,0,9,3,8,354,355,713,239,353,593,12,10,22,2706,2674,5382
LGA51820,870,815,1685,593,372,969,11,3,15,4,0,4,105,77,179,21603,19199,40804,1220,1483,2707,298,7,302,134,16,148,174,63,242,633,155,791,288,307,599,25935,22511,48444,424,430,856,0,0,0,0,0,0,374,345,716,49,76,128,38,10,48,888,864,1749,0,0,4,3,0,3,36,36,75,29,30,65,32,20,50,103,88,192,250,153,403,1236,1103,2340,160,169,331,25,5,34,16,0,20,202,179,382,1743,2540,4284,3067,4189,7256,120,87,201,32304,30605,62912
LGA51860,0,0,0,0,0,5,14,8,22,0,0,0,0,0,0,28,17,47,0,9,9,0,0,0,21,11,30,11,3,16,4,5,7,17,19,33,90,67,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,9,20,28,13,3,15,24,23,49,0,0,0,4,9,13,5,0,5,8,9,14,10,4,10,3,4,10,0,0,0,129,112,239
LGA51890,3,0,3,58,17,69,0,0,0,0,0,0,0,6,6,1163,1092,2258,121,100,216,22,0,22,4,0,6,7,4,8,30,8,38,35,34,75,1442,1264,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,11,3,14,17,6,26,24,9,36,0,0,0,3,0,3,0,0,0,0,0,0,32,66,106,294,254,545,15,9,22,1811,1608,3420
LGA51960,0,0,0,50,11,63,0,0,0,0,0,0,0,0,0,487,386,872,61,29,89,15,0,19,0,0,6,3,0,3,14,3,19,16,39,61,651,477,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,0,0,0,12,5,15,13,0,12,25,5,32,0,0,0,4,0,4,0,0,0,4,0,4,11,11,21,101,64,167,9,8,16,797,566,1359
LGA52030,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,123,85,210,7,11,16,11,0,11,0,0,0,0,0,0,10,3,10,19,16,33,170,110,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,79,30,26,59,6,0,7,242,189,426
LGA52100,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,164,134,303,3,7,8,3,0,3,0,0,0,3,6,3,6,0,11,21,24,48,213,171,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,38,96,16,23,38,3,4,4,293,233,527
LGA52170,129,107,234,40,34,75,0,0,0,0,0,0,3,3,8,1261,1016,2274,50,89,133,5,0,5,14,0,14,68,18,88,16,3,22,50,45,92,1633,1316,2945,12,4,18,0,0,0,0,0,0,5,12,14,0,0,0,8,0,8,29,17,44,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,6,4,5,7,5,16,40,26,67,6,3,11,0,0,0,0,0,0,8,3,15,296,324,622,178,270,447,10,16,26,2169,1954,4120
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,111,280,3,14,17,8,0,3,0,0,0,0,0,0,4,0,4,20,24,48,205,156,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,44,102,30,28,55,4,3,9,292,227,525
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,125,252,3,5,11,4,0,4,0,0,0,0,0,0,4,0,7,15,7,21,161,141,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,35,25,60,20,21,48,8,0,8,226,197,419
LGA52380,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,23,9,38,7,4,9,3,0,3,0,0,0,0,0,0,16,0,16,10,8,17,76,24,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,85,25,111
LGA52450,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,211,143,360,12,12,26,11,0,11,0,0,0,0,0,0,8,0,12,22,6,28,265,167,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,32,36,69,28,39,65,3,4,6,340,239,580
LGA52520,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,258,164,419,10,12,29,8,0,8,0,0,0,7,0,7,8,0,6,46,27,72,330,211,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,29,43,72,20,23,46,0,0,5,390,281,671
LGA52590,0,3,6,15,3,22,0,0,0,0,0,0,0,0,0,440,405,839,40,30,73,15,3,22,0,6,7,12,4,13,33,15,48,52,28,78,612,493,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,5,5,5,11,3,17,10,10,23,0,0,0,5,0,6,0,0,5,9,0,8,93,117,208,113,100,215,4,7,19,847,730,1571
LGA52660,0,0,0,107,25,128,0,0,0,0,0,0,3,5,10,2508,2289,4797,212,154,372,48,0,48,15,3,20,14,0,13,51,9,58,47,42,92,3008,2532,5536,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,35,10,45,3,0,3,3,0,3,44,10,49,44,18,62,95,25,115,0,0,0,11,0,10,0,0,0,11,0,10,125,207,328,471,536,1006,16,13,27,3716,3314,7025
LGA52730,0,0,0,13,4,21,0,0,0,0,0,0,0,0,0,713,730,1443,54,56,109,17,0,15,3,0,7,12,11,22,35,5,41,79,70,146,922,874,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,3,9,0,16,11,7,14,0,0,0,0,0,0,0,0,0,3,0,3,204,205,405,160,175,340,10,21,32,1306,1284,2592
LGA52800,0,0,0,12,30,46,0,0,0,0,0,0,0,0,0,500,476,977,72,80,151,15,0,19,4,0,4,9,8,21,28,23,48,199,251,449,845,861,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,4,14,4,16,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,41,45,87,65,70,139,18,22,39,992,1008,2001
LGA52870,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,863,781,1647,81,67,142,21,5,23,4,0,4,4,3,8,42,3,42,57,50,108,1092,915,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,3,0,3,8,0,6,15,7,23,20,13,31,0,0,0,0,0,0,0,0,0,0,0,5,145,168,315,195,199,390,9,15,34,1470,1308,2774
LGA52940,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,91,81,168,9,0,8,3,0,6,0,0,0,0,0,0,6,4,11,19,13,24,134,95,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,27,54,18,17,34,0,0,0,180,139,318
LGA53010,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,88,66,149,0,3,3,4,0,4,4,0,4,4,0,4,0,0,0,21,13,30,124,80,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,34,79,5,23,25,0,0,0,175,137,312
LGA53080,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,62,46,107,9,13,19,3,0,3,0,0,4,3,6,9,8,4,16,20,25,50,114,102,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,9,17,26,0,3,3,135,128,262
LGA53150,28,17,46,72,57,131,0,0,0,0,0,0,13,3,13,1185,1198,2385,57,69,122,5,0,5,10,5,17,35,5,43,15,8,23,42,62,102,1464,1425,2884,25,24,53,0,0,0,0,0,0,7,11,22,0,4,8,4,0,4,43,44,86,0,0,0,0,0,0,0,7,5,3,4,7,3,0,0,4,7,12,19,4,18,63,52,120,8,8,9,0,0,0,3,0,3,10,10,19,227,292,512,188,285,474,6,4,7,1961,2060,4016
