LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA47290,8,0,10,0,4,4,5,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,4,0,0,15,162,77,77,46,51,25,30,65,10,541
LGA47490,8,0,16,4,0,9,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,4,5,0,3,3,0,24,109,130,102,59,51,28,23,60,0,554
LGA47630,12,0,38,17,15,6,8,18,0,131,0,0,0,0,0,0,0,0,0,6,4,3,3,3,0,0,0,6,0,24,19,3,8,5,8,8,12,25,4,89,462,311,321,196,206,102,145,282,25,2047
LGA47700,206,63,618,300,250,171,97,154,22,1876,3,4,0,0,7,4,0,6,0,26,66,76,56,94,61,20,49,37,13,475,75,56,91,69,84,51,48,72,132,682,4320,9526,5766,5035,4618,1707,1297,1741,550,34558
LGA47800,13,0,26,12,7,4,0,8,0,75,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,0,0,18,16,0,9,8,5,5,3,22,4,80,353,175,163,165,117,64,70,176,20,1302
LGA47910,10,0,21,8,5,9,3,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,5,0,0,18,164,126,97,92,72,33,44,59,11,692
LGA47980,64,12,215,59,51,45,5,43,8,507,0,0,0,0,0,0,0,0,0,7,37,68,10,22,29,21,7,3,10,213,43,39,20,14,25,10,4,3,35,189,2744,7350,1183,1269,1567,718,197,483,199,15710
LGA48050,23,3,94,34,19,28,8,34,0,244,0,0,0,0,0,0,0,4,0,0,3,8,0,14,4,0,6,6,0,47,9,8,22,15,11,12,8,10,11,108,439,812,568,706,348,234,123,253,44,3526
LGA48130,17,0,26,17,12,9,5,21,3,106,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,4,6,0,21,9,4,3,3,5,0,4,15,3,58,328,240,215,210,149,48,115,218,30,1556
LGA48260,16,8,27,13,18,10,5,4,0,90,0,0,0,0,0,0,0,0,0,5,7,6,4,7,11,4,0,0,0,39,12,5,3,7,4,5,0,0,4,38,532,1491,189,236,312,150,41,68,39,3058
LGA48340,27,8,59,45,15,21,10,28,3,210,0,0,0,0,0,0,0,0,0,5,0,5,4,10,5,3,4,4,0,34,18,3,17,14,10,18,8,33,24,145,556,512,489,436,267,142,149,342,49,2945
LGA48410,132,44,496,215,137,97,62,139,14,1343,0,0,0,5,3,0,5,8,0,14,41,58,42,50,40,21,27,34,10,330,49,50,48,57,55,22,37,39,68,422,2952,8067,2993,3451,2922,1245,838,1403,345,24214
LGA48540,37,6,85,59,29,37,38,39,7,341,0,0,0,0,0,0,0,4,0,8,0,9,18,9,4,0,19,4,3,68,15,8,41,20,4,16,32,20,26,177,524,1162,1166,850,460,227,586,308,99,5382
LGA48640,0,0,13,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,15,79,60,43,23,20,15,9,31,6,285
LGA48750,21,0,26,15,0,10,9,9,0,94,0,0,0,0,0,0,0,0,0,0,5,9,3,0,4,0,0,0,0,27,6,3,5,7,6,0,0,3,6,46,258,272,235,195,162,71,61,137,33,1422
LGA48830,21,0,51,29,11,9,11,28,0,157,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,3,3,5,36,28,6,13,12,7,3,3,14,15,106,562,398,386,321,219,122,134,226,51,2420
LGA49399,9,0,12,8,10,0,3,6,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,3,23,7,11,7,11,4,3,13,16,17,87,182,115,131,91,57,17,67,119,30,808
LGA49499,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50080,81,26,240,118,73,67,37,79,10,731,0,0,0,3,0,3,0,5,0,22,20,19,22,29,15,4,7,17,8,138,38,22,64,45,29,25,22,53,27,327,1423,2864,2103,1822,1128,681,562,917,131,11635
LGA50210,153,60,581,301,236,152,201,195,17,1893,4,0,0,3,9,3,7,17,3,44,28,60,80,75,47,32,69,46,14,453,73,58,144,77,96,63,111,86,162,865,3074,7398,5808,4354,3595,1544,2192,1894,488,30346
LGA50250,9,3,45,16,12,0,43,22,5,156,0,0,0,0,0,0,0,0,0,0,3,5,19,8,0,0,32,0,0,73,5,4,11,3,0,9,23,17,13,93,210,353,828,185,199,49,495,186,63,2574
LGA50280,60,10,187,53,29,43,25,63,10,476,3,0,0,0,0,0,0,0,0,4,11,25,11,15,6,10,4,13,3,103,23,20,38,22,9,12,18,35,10,185,910,1407,1159,694,436,355,255,560,75,5843
LGA50350,33,11,98,48,38,33,7,28,0,283,0,0,0,0,0,3,0,0,0,3,14,23,20,10,13,7,10,7,4,102,11,8,26,22,14,4,17,16,16,132,759,1973,930,671,661,306,213,256,73,5845
LGA50420,171,49,519,258,170,106,102,127,14,1514,0,4,3,5,0,0,0,9,0,30,60,98,64,57,55,32,18,36,8,425,59,70,115,76,66,34,63,53,113,635,3490,9205,3799,3082,3115,1281,1044,1315,373,26706
LGA50490,104,42,416,204,92,79,73,102,15,1119,0,6,3,8,0,6,6,3,0,26,19,39,44,33,16,10,30,18,9,216,45,39,91,59,64,25,54,54,98,519,1768,4390,2719,1975,1791,832,977,989,262,15696
LGA50560,7,0,0,6,4,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,98,68,56,41,27,11,28,39,10,375
LGA50630,0,0,3,0,7,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,3,0,0,7,0,4,30,54,74,111,38,52,8,72,31,4,434
LGA50770,0,0,5,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,3,0,0,0,6,0,0,19,151,75,71,40,47,22,31,38,0,477
LGA50840,8,6,31,16,6,9,9,14,0,85,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,13,3,7,11,4,4,0,10,3,6,54,239,310,304,185,122,78,118,114,23,1502
LGA50910,3,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,3,9,50,33,25,28,26,13,10,21,4,213
LGA50980,47,16,75,63,58,23,17,33,0,337,0,0,0,0,0,0,0,0,0,4,16,18,15,12,12,0,5,6,0,95,14,45,30,35,36,25,16,30,52,282,820,1679,795,805,648,257,211,371,108,5692
LGA51080,0,0,3,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,97,40,29,21,20,8,11,27,0,252
LGA51120,3,0,3,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,80,29,30,21,27,9,22,13,0,238
LGA51190,48,15,203,98,51,56,54,77,7,609,0,5,0,4,0,3,4,3,0,22,8,26,28,23,14,3,28,13,7,154,17,19,64,17,9,15,49,42,46,281,943,2395,1967,1304,942,535,635,822,139,9675
LGA51260,146,23,397,159,81,75,54,102,12,1042,0,0,5,6,0,4,0,0,0,19,25,28,26,20,12,10,11,21,8,161,44,28,71,41,35,44,31,52,42,388,1754,2965,2622,1611,1226,785,633,1049,192,12826
LGA51310,54,11,70,56,35,25,5,12,6,277,0,0,0,0,0,0,0,3,0,6,32,49,7,11,23,7,4,7,12,154,34,22,14,20,20,7,4,17,21,151,2550,6206,736,736,1109,435,140,255,150,12318
LGA51330,177,29,727,295,184,110,183,241,19,1963,4,3,5,6,6,7,7,7,6,44,40,82,74,75,60,33,68,61,25,507,49,78,132,81,63,52,80,116,168,814,3775,11829,5008,4445,3917,1842,1978,2505,570,35879
LGA51400,28,10,81,41,33,23,18,33,4,275,0,0,0,0,0,0,6,3,0,12,14,20,9,4,10,0,9,10,0,84,10,17,37,30,20,20,12,20,32,189,666,1575,1307,821,654,267,398,452,84,6214
LGA51470,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,51,20,18,14,14,6,10,21,0,147
LGA51540,10,3,20,9,14,10,3,18,3,94,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,10,0,29,11,5,7,10,6,7,9,15,6,74,201,251,206,183,144,77,84,136,35,1313
LGA51610,6,0,10,0,9,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,0,13,98,90,95,46,61,16,36,30,3,482
LGA51680,13,0,19,15,23,14,9,10,3,111,0,0,0,0,0,0,0,0,0,0,5,9,8,4,0,0,3,0,0,29,11,4,16,10,6,5,21,12,11,100,272,305,426,214,222,62,158,135,35,1834
LGA51710,6,0,8,5,7,0,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,5,5,0,0,0,0,6,18,81,87,100,74,64,4,27,38,7,495
LGA51750,8,3,30,13,0,10,0,5,0,75,0,0,0,0,0,0,0,0,0,3,11,20,4,8,5,5,0,0,0,54,3,14,4,8,9,3,0,0,11,58,897,2212,201,288,410,206,39,80,48,4385
LGA51820,286,80,859,429,287,228,135,209,21,2531,3,12,4,7,0,3,9,3,0,54,71,103,121,90,72,27,55,46,24,612,100,100,249,129,101,63,92,119,196,1142,5461,13320,8326,5225,5208,2069,1985,2322,675,44595
LGA51860,0,0,0,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,27,25,22,21,12,4,4,19,0,137
LGA51890,9,3,35,20,15,7,25,18,0,140,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,12,0,0,31,4,4,20,4,4,6,12,9,3,76,136,268,629,294,190,83,252,171,37,2061
LGA51960,6,0,13,6,9,3,16,4,0,53,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,14,4,0,9,8,7,0,11,10,7,63,54,89,207,63,64,18,150,42,21,710
LGA52030,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,56,30,33,18,30,7,21,23,0,226
LGA52100,6,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,87,42,36,32,32,18,16,19,4,282
LGA52170,18,4,16,7,8,3,0,3,0,51,0,0,0,0,0,0,0,0,0,0,9,15,0,5,0,3,0,0,0,34,4,14,6,3,3,0,0,0,11,45,702,1768,140,179,279,153,20,41,70,3357
LGA52240,5,0,3,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,14,97,22,24,30,29,0,15,42,7,275
LGA52310,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,14,55,35,24,26,30,10,11,33,0,223
LGA52380,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,19,3,0,0,15,10,3,69
LGA52450,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,13,80,47,59,37,22,16,12,26,8,298
LGA52520,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,3,0,3,0,4,0,0,0,3,5,105,65,50,24,28,11,18,23,5,332
LGA52590,10,0,15,9,13,6,10,10,0,78,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,3,0,0,14,6,3,6,0,0,3,4,12,8,36,175,174,165,76,98,35,77,110,16,927
LGA52660,27,7,71,41,36,43,31,42,0,283,0,3,0,3,0,0,0,0,0,6,6,0,9,3,3,3,13,7,3,50,16,21,28,14,12,12,16,27,21,164,457,886,1080,593,490,257,367,335,80,4545
LGA52730,17,0,28,17,5,5,3,16,0,97,0,0,0,0,0,0,0,0,0,0,8,8,9,8,0,0,0,4,0,36,6,7,9,10,0,4,0,13,6,60,341,510,305,213,165,79,64,161,31,1873
LGA52800,7,0,12,13,4,3,3,9,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,9,5,12,10,17,3,6,5,9,7,76,167,394,142,247,118,32,34,111,25,1263
LGA52870,15,0,22,15,12,15,7,13,0,92,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,8,0,0,27,12,0,3,8,11,3,8,14,14,75,300,362,360,199,156,73,137,164,30,1795
LGA52940,5,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,60,24,13,20,19,0,8,12,0,168
LGA53010,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,55,24,17,14,20,4,0,21,4,161
LGA53080,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,26,21,20,9,7,9,13,3,123
LGA53150,22,5,23,13,16,11,0,0,0,94,0,0,0,0,0,0,0,0,0,0,18,22,7,3,0,0,3,5,0,50,10,10,7,4,0,4,0,3,7,48,653,1440,251,234,287,136,38,85,28,3156
LGA53220,10,6,55,19,15,6,48,34,4,201,0,0,0,0,0,0,0,0,0,3,0,9,13,5,0,0,15,6,0,45,6,11,39,15,3,8,37,22,15,156,228,462,1139,191,182,60,567,264,65,3158
LGA53290,31,5,79,46,26,18,20,38,5,267,0,0,0,0,0,0,0,0,0,0,4,6,4,9,3,0,6,6,0,34,17,8,26,19,16,12,26,36,18,178,681,750,740,372,438,174,335,329,79,3899
LGA53360,9,0,39,11,13,0,0,9,3,91,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,16,4,9,10,7,5,5,0,9,6,52,160,236,262,164,127,67,33,134,24,1206
LGA53430,63,16,174,83,38,32,14,36,6,452,0,0,4,4,3,0,3,0,0,15,43,85,21,27,25,13,11,15,6,244,19,36,33,33,16,11,13,24,38,221,2078,5939,1467,1251,1057,464,262,443,167,13128
LGA53570,15,0,15,9,7,3,13,18,0,78,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,3,0,24,22,0,8,3,0,3,16,28,9,109,267,184,275,96,152,49,138,222,31,1406
LGA53640,4,0,0,3,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,6,0,3,0,0,0,0,0,0,10,107,39,56,17,19,9,24,32,0,307
LGA53710,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,10,64,34,36,25,25,6,15,16,0,226
LGA53780,211,58,825,403,271,232,246,308,25,2577,0,4,9,10,7,7,12,11,0,56,69,78,101,84,71,44,117,63,17,641,72,80,221,126,92,62,140,160,232,1192,3524,9107,7232,5439,4593,2127,2855,2914,638,38424
LGA53800,67,14,201,127,79,67,42,72,4,674,0,0,6,0,0,3,0,7,0,17,28,18,19,29,15,8,9,15,3,142,33,33,58,37,30,20,31,49,45,337,1259,2827,2323,1678,1207,611,665,823,162,11550
LGA53920,0,0,5,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,8,4,4,9,3,0,3,7,9,40,81,128,53,90,38,5,22,39,24,482
LGA53990,50,19,147,96,61,64,66,67,5,562,0,0,0,0,0,4,0,3,0,10,14,22,27,17,20,3,35,18,6,169,29,11,59,15,20,15,41,49,40,275,850,1664,2211,1118,910,411,701,785,148,8799
LGA54060,3,0,20,6,7,7,12,16,0,65,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,4,0,12,3,0,9,0,0,0,3,5,9,37,128,150,199,94,77,44,68,78,23,851
LGA54130,5,0,3,0,0,0,4,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,0,9,112,40,46,9,29,10,24,46,0,319
LGA54170,351,119,808,474,427,285,119,185,19,2797,4,0,4,10,8,5,5,13,0,54,111,180,113,106,106,49,36,34,20,754,133,147,252,148,146,85,74,123,218,1310,9119,19774,10105,6687,7308,2833,1798,2359,795,60775
LGA54200,98,38,302,179,191,98,71,95,10,1085,0,0,0,3,0,4,4,4,0,21,39,45,42,48,25,13,31,15,13,268,69,43,104,44,64,37,77,44,93,568,2522,5017,3869,2275,2452,866,1130,935,303,19375
LGA54280,60,22,150,80,80,46,93,51,3,585,0,0,0,3,0,5,3,0,0,17,9,15,42,19,10,3,37,12,9,145,23,20,77,40,20,10,64,33,50,345,976,2059,2584,916,905,340,1030,507,146,9454
LGA54310,55,18,110,50,57,30,38,32,7,396,4,0,0,0,0,0,0,0,0,8,10,18,43,15,12,9,22,12,3,150,16,17,82,19,32,12,37,33,40,280,939,1537,2356,674,824,258,580,476,148,7794
LGA54340,9,3,17,11,7,0,7,11,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,4,3,9,0,3,0,22,8,58,116,186,178,120,79,49,42,133,17,924
LGA54410,4,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,13,57,45,35,35,18,9,21,18,5,244
LGA54480,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,74,14,7,9,8,4,13,17,0,142
LGA54550,4,0,0,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,4,0,26,173,89,70,42,32,21,36,69,0,527
LGA54620,4,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,10,77,18,28,20,18,8,16,20,4,209
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,8,27,9,3,13,7,4,12,6,0,84
LGA54760,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,76,41,19,20,13,8,15,24,5,208
LGA54830,74,29,321,173,114,92,119,103,7,1030,0,0,0,0,0,0,8,9,0,20,20,23,61,37,26,15,44,24,7,258,26,26,77,54,35,29,82,75,65,471,1196,2936,3034,2259,1654,778,1155,1098,210,14317
LGA54900,7,0,6,0,3,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,4,0,0,0,0,8,0,23,137,47,56,26,33,8,28,35,6,377
LGA54970,0,0,3,3,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,0,5,0,3,15,28,59,81,17,12,3,78,20,8,295
LGA55040,3,0,18,0,5,0,8,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,7,0,3,22,41,47,107,37,35,8,72,41,7,394
LGA55110,191,43,514,297,156,202,145,182,16,1731,5,0,7,7,0,4,0,11,0,31,28,53,64,51,31,9,54,27,7,320,57,46,132,91,58,51,106,98,117,744,2505,4838,5147,3637,2273,1364,1788,1607,384,23539
LGA55180,21,0,46,25,19,19,5,17,3,158,0,0,5,0,0,0,0,3,0,7,8,9,4,9,0,0,8,3,0,34,16,8,13,8,9,8,6,22,11,105,483,436,424,311,215,123,129,282,45,2448
LGA55250,4,4,12,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,18,46,51,73,27,14,13,25,26,7,276
LGA55320,176,46,397,226,198,119,44,72,11,1286,5,4,0,4,0,0,3,9,0,30,89,118,52,61,77,35,29,36,19,510,74,96,121,56,81,54,28,55,141,711,6587,16362,4239,3356,4666,1919,859,1232,530,39745
LGA55390,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,4,0,11,10,26,54,3,9,0,36,14,3,157
LGA55460,4,0,14,8,5,8,4,7,0,43,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,10,6,0,7,5,4,3,4,8,4,38,127,151,170,94,85,23,62,67,14,797
LGA55530,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,9,12,9,9,6,9,9,0,95
LGA55600,4,0,3,5,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,3,0,5,7,4,4,27,136,109,85,63,57,28,39,47,10,580
LGA55670,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,51,25,13,17,17,9,7,9,5,145
LGA55740,17,5,31,15,9,7,0,4,0,94,0,0,0,0,0,0,0,0,0,4,15,18,0,7,5,4,7,0,3,57,7,22,0,4,9,0,5,6,7,62,706,1668,219,302,297,167,53,128,60,3596
LGA55810,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,27,19,10,11,4,16,11,3,114
LGA55880,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,47,13,19,13,4,3,4,13,3,118
LGA55950,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,42,26,28,3,11,9,9,7,4,138
LGA56090,65,28,184,99,84,56,45,60,5,627,0,0,3,0,4,5,3,0,0,17,32,35,33,35,18,4,21,16,7,198,41,27,62,32,21,21,34,23,56,317,1717,3598,2489,1480,1412,548,596,547,213,12597
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,4,0,0,0,5,0,29
LGA56230,30,10,107,48,26,39,30,39,0,329,0,0,0,8,0,4,0,0,0,14,5,10,20,10,5,3,12,4,3,70,15,3,27,15,8,13,29,26,17,157,489,709,1142,617,405,211,399,341,73,4387
LGA56300,4,0,3,0,0,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,3,0,0,23,83,80,61,41,37,7,25,43,9,375
LGA56370,3,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,53,28,21,11,16,8,7,21,5,154
LGA56460,10,0,22,17,0,6,0,7,0,76,0,0,0,0,0,0,0,0,0,4,4,5,4,0,0,0,0,0,0,12,8,0,8,17,0,0,3,16,4,67,203,311,224,189,128,65,69,111,17,1320
LGA56580,26,13,36,19,15,9,0,11,5,132,0,0,0,0,0,0,0,0,0,4,24,38,4,8,6,0,3,0,3,92,23,34,8,3,12,7,0,3,18,114,1831,4782,383,466,809,333,76,123,119,8922
LGA56620,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,52,0,11,5,0,4,3,0,108
LGA56730,12,3,44,28,11,15,10,18,0,149,0,0,0,0,0,0,0,0,0,3,5,3,3,9,3,0,6,4,0,36,17,7,14,14,15,11,14,12,24,107,336,537,514,390,266,157,183,186,48,2613
LGA56790,8,0,14,7,0,4,0,8,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,13,12,0,7,4,5,0,6,12,3,45,143,123,105,86,62,27,58,82,18,704
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,7,5,8,9,0,3,0,0,52
LGA56930,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,157,260,15,25,48,20,3,4,10,552
LGA57000,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,48,24,19,14,14,0,14,21,4,150
LGA57080,90,14,293,127,41,34,19,46,9,673,0,0,0,0,0,0,0,0,0,14,26,51,19,24,17,10,10,20,0,179,31,36,32,28,19,11,10,22,47,238,1876,5802,1275,1405,1354,594,344,724,182,13565
LGA57140,0,0,3,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,46,37,36,24,19,7,11,23,6,211
