LGA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
LGA11300,0,5,52,23,11,11,9,0,5,53,22,29,11,12,3,3,84,2399,3305,2417,2244,964,629,11951,799,1328,886,1011,489,362,4871,188,208,141,123,33,15,713,266,370,302,300,114,89,1438,456,579,447,420,146,102,2152,254,252,129,68,22,9,734,451,586,454,282,85,29,1884,577,703,386,222,71,21,1975,575,913,469,250,67,28,2305,14,15,11,7,5,4,53,1871,2470,1445,831,246,83,6944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,33,8,3,5,0,96,50,33,8,3,5,0,96,42,22,4,5,0,4,77,3214,4438,2783,2270,883,556,14137
LGA11350,0,0,56,245,98,22,16,8,3,388,81,53,18,11,7,0,171,3133,4048,1847,1554,593,206,11368,2292,3566,1857,1579,672,329,10293,194,195,82,49,13,5,527,286,288,151,101,19,3,847,479,479,233,144,35,6,1375,314,160,55,26,0,0,556,47,26,3,3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,46,15,11,4,0,134,416,232,71,45,7,4,773,170,74,7,6,5,0,265,7,9,0,0,0,0,18,36,34,5,0,0,0,74,216,108,21,6,6,0,353,39,18,14,4,0,0,76,3439,4408,2193,1780,717,351,12875
LGA11400,0,0,25,28,7,3,0,7,0,49,3,14,0,4,3,4,25,1138,1658,634,672,413,167,4685,1057,1746,645,592,380,181,4599,29,22,0,6,0,0,60,3,0,0,0,0,0,10,39,22,0,6,0,3,69,40,13,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,0,0,55,6,7,0,0,0,0,17,0,0,0,0,0,0,0,42,55,21,27,15,4,166,48,61,21,27,15,4,185,5,8,0,0,0,0,8,1188,1848,669,621,396,190,4913
LGA11450,0,0,12,36,20,0,7,0,0,68,20,17,9,6,12,0,75,3297,6722,4570,5520,2618,1351,24082,3970,9207,6723,8389,4099,2005,34397,439,254,98,56,24,20,893,418,353,234,192,70,41,1300,859,603,332,249,93,58,2192,136,56,16,3,4,0,215,0,0,0,0,0,0,0,23,9,3,0,0,0,35,0,0,0,0,0,0,0,38,29,11,16,13,7,113,205,93,31,21,11,7,365,93,41,6,0,0,0,140,0,0,0,0,0,0,0,7,6,0,0,0,0,10,99,46,7,0,0,0,153,32,18,8,8,0,6,62,5160,9969,7098,8666,4205,2073,37171
LGA11500,7,6,65,25,18,15,9,7,6,81,46,38,10,12,0,0,110,9180,14117,9441,9395,4508,3341,49979,6616,12414,9066,9166,4386,3252,44903,1485,1109,612,456,176,77,3917,1544,1335,807,658,257,186,4787,3027,2445,1422,1115,432,263,8701,574,260,91,66,21,6,1023,265,173,36,19,4,0,500,605,598,234,98,30,3,1570,80,62,29,5,5,0,182,153,113,59,43,22,13,405,1677,1207,447,229,83,31,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,13,7,4,0,0,0,0,16,41,15,10,4,5,0,71,11367,16090,10946,10513,4906,3552,57368
LGA11520,15,5,300,71,135,56,24,15,5,306,59,45,25,19,7,0,158,7067,11031,6028,5463,1805,711,32102,1931,3652,2277,3069,1349,495,12769,258,338,200,219,62,10,1079,475,783,435,422,88,31,2228,730,1124,638,637,144,36,3307,1262,1235,479,276,50,10,3311,1160,1292,561,284,58,9,3357,2075,2941,1152,571,135,29,6902,1193,1892,769,416,75,15,4353,33,30,14,13,3,6,93,5709,7386,2967,1558,318,65,18011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,146,62,35,8,4,373,116,146,62,35,8,4,373,28,6,4,5,6,0,48,8514,12321,5958,5302,1817,597,34512
LGA11570,49,51,606,137,169,119,93,49,53,618,127,92,60,48,49,24,405,21172,27708,19479,20087,10760,8531,107733,9829,16493,11332,12547,7459,6726,64393,1354,1117,671,628,317,199,4286,2634,3324,2552,2942,1568,1087,14112,3991,4441,3220,3574,1883,1286,18398,4545,3246,1999,1465,586,290,12128,3348,2986,1874,1376,571,246,10399,2058,2504,1495,980,338,117,7494,586,858,499,324,132,36,2427,237,255,148,148,95,80,956,10770,9844,6012,4290,1726,760,33403,0,0,0,0,0,0,5,0,0,0,0,0,0,0,188,176,103,73,23,17,580,188,175,103,72,23,17,586,86,69,37,28,20,8,251,24868,31024,20705,20513,11119,8806,117031
LGA11600,0,0,0,12,10,6,0,0,0,31,0,4,0,0,0,0,12,274,372,134,115,59,37,984,252,314,129,123,70,25,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,3,0,0,23,0,6,0,0,0,0,5,3,0,0,0,0,0,7,4,0,0,0,0,0,4,3,11,0,0,0,0,20,5,0,5,4,0,0,16,277,331,138,130,70,31,965
LGA11650,7,4,227,608,328,110,75,16,11,1145,301,138,51,29,18,14,550,31955,41025,18177,18125,7978,3777,121046,21660,35555,16938,17686,7638,3749,103225,5217,3204,712,345,101,50,9627,2462,2161,811,474,162,46,6113,7675,5365,1523,815,260,99,15743,3578,1890,591,296,88,28,6473,737,544,150,66,15,10,1519,1067,1035,250,93,26,3,2473,250,244,73,23,0,0,600,156,162,41,29,17,10,423,5798,3872,1109,511,143,54,11486,518,239,46,19,8,0,825,5,6,3,0,0,0,8,60,51,15,8,6,0,148,577,298,58,30,15,4,983,154,67,25,17,8,9,280,35866,45162,19658,19055,8059,3917,131713
LGA11700,0,0,3,12,0,0,0,0,0,10,3,6,0,0,0,0,14,229,159,87,69,30,43,607,171,154,49,51,25,33,480,16,7,0,0,0,0,20,0,0,0,0,0,0,0,16,7,0,0,0,0,21,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,41,15,7,0,3,0,73,236,176,61,56,24,33,591
LGA11720,0,0,28,28,15,3,0,3,0,61,38,36,16,12,5,0,119,4827,6571,3107,2860,1351,649,19364,4318,6985,3497,3244,1540,843,20413,771,438,149,66,22,7,1460,153,74,24,10,3,0,270,924,516,176,80,30,13,1731,173,52,13,4,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,6,0,0,50,195,76,16,6,3,4,300,34,3,0,0,0,0,37,5,0,0,0,0,0,6,10,8,0,0,0,0,21,42,14,3,0,0,0,59,23,18,8,9,4,3,50,5497,7605,3691,3332,1574,857,22556
LGA11730,0,4,70,343,197,34,14,4,7,597,49,66,16,5,8,0,143,5742,7867,2462,1972,1002,560,19608,4394,7596,2455,2047,963,563,18018,512,238,52,29,13,7,851,223,172,64,28,3,10,497,739,407,120,57,14,11,1345,494,188,40,25,9,3,762,42,35,11,0,0,0,88,15,9,0,0,0,0,22,0,0,0,0,0,0,0,26,15,4,3,3,0,42,585,248,48,24,14,3,916,242,129,10,4,0,0,391,5,4,0,0,0,0,19,42,55,17,19,4,3,152,290,187,31,25,8,5,560,45,26,3,8,0,3,89,6054,8463,2664,2159,1003,586,20932
LGA11750,0,0,14,15,12,4,0,0,0,34,0,0,0,0,0,0,3,495,572,185,202,108,53,1622,383,439,168,160,73,48,1270,25,16,0,0,0,0,39,0,0,0,0,0,0,3,27,16,0,0,0,0,44,55,17,5,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,5,0,0,0,68,5,3,0,0,0,0,6,0,0,0,0,0,0,0,5,4,3,0,0,0,7,12,7,3,0,0,0,20,4,3,0,0,0,0,9,472,475,170,166,79,48,1409
