LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA54280,0,0,22,10,3,6,12,17,51,32,26,15,3,0,3,172,0,0,0,6,0,9,10,5,0,0,0,0,35,9,0,4,8,8,25,24,18,6,0,3,4,114,17,3,7,33,23,81,69,52,24,13,3,15,345,79,34,48,125,182,612,747,756,284,217,110,177,3361
LGA54310,0,0,6,4,0,0,0,0,4,3,14,0,4,4,3,40,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,6,0,0,0,6,0,3,0,0,16,4,0,0,4,0,6,10,16,10,9,4,3,72,31,15,9,32,28,160,219,319,149,150,135,67,1297
LGA54340,0,0,9,0,0,0,0,4,3,5,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,8,4,0,5,4,0,5,3,0,0,0,0,0,18,4,6,5,4,9,5,10,6,0,0,0,0,40,23,17,16,37,54,73,50,42,11,6,12,20,367
LGA54410,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,5,5,0,0,0,0,0,0,16,4,5,5,16,10,13,10,3,3,0,5,7,74
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16
LGA54550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,15,4,4,7,17,25,11,14,6,0,3,15,125
LGA54620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,5,0,7,7,0,0,0,0,5,42
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,14
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,4,0,4,0,0,0,0,0,37
LGA54830,4,4,55,12,6,6,17,17,89,109,79,25,10,5,24,390,3,3,3,0,15,34,30,23,10,3,0,3,127,16,11,4,9,30,72,59,47,11,4,6,33,310,34,22,12,32,57,209,197,159,51,15,13,72,881,175,92,71,147,285,1107,1649,1899,645,361,210,339,6985
LGA54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,4,4,3,20,8,3,0,0,0,9,71
LGA54970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12
LGA55040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,5,3,0,0,0,0,0,26
LGA55110,3,14,131,17,6,4,27,39,137,158,123,32,19,16,35,608,4,3,0,12,13,40,33,44,13,4,9,9,182,25,21,9,21,49,102,78,71,17,15,13,29,443,52,29,19,57,100,311,298,261,66,42,36,90,1366,353,161,140,287,419,1605,2249,2716,962,678,462,593,10631
LGA55180,0,0,13,3,0,0,4,8,11,9,0,0,0,0,4,39,0,0,0,3,0,3,0,0,0,0,0,0,10,5,0,5,4,8,4,5,0,0,0,0,0,30,7,0,3,6,21,26,12,4,3,0,0,6,97,52,24,20,55,73,183,127,122,45,49,32,55,841
LGA55250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
LGA55320,11,9,116,22,3,6,5,17,33,58,86,46,38,40,23,371,18,4,0,11,11,37,43,54,19,32,33,12,273,41,15,7,18,15,41,46,43,27,28,25,32,342,82,26,14,39,49,116,171,195,109,110,111,71,1098,584,148,167,206,296,862,1105,2216,1679,1973,1770,643,11655
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA55460,0,0,4,0,0,0,0,5,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,0,0,13,3,6,6,0,3,11,3,0,0,0,0,0,29,18,19,12,29,35,72,36,33,6,8,4,12,282
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,0,0,0,0,0,25
LGA55600,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,6,0,0,0,0,0,0,18,15,3,11,23,17,39,26,19,8,0,3,4,172
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,4,5,3,5,0,0,6,0,0,0,5,28
LGA55740,5,0,14,0,0,0,0,0,0,5,3,0,4,6,6,19,0,0,0,0,0,0,0,0,0,11,5,3,15,0,0,0,0,0,4,0,0,0,0,4,5,14,5,0,0,0,0,3,3,3,7,11,18,12,68,42,7,9,9,22,55,36,83,75,158,324,73,884
LGA55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,0,0,0,0,0,0,0,12
LGA55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,6,0,0,0,0,0,0,22
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,8,0,3,7,0,0,0,3,0,29
LGA56090,3,3,55,13,0,0,6,6,42,53,57,32,13,9,20,256,3,3,0,6,4,14,24,27,7,11,0,6,106,18,3,7,9,16,36,39,46,8,16,14,20,224,34,9,11,21,32,101,131,136,57,31,28,51,641,222,74,73,128,203,562,923,1500,760,613,383,328,5780
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA56230,0,0,24,3,3,0,3,11,21,31,24,3,3,6,13,125,0,0,0,3,0,9,6,10,0,4,0,0,33,4,0,5,12,5,16,16,10,3,5,9,3,97,6,4,3,21,13,55,56,54,8,18,13,16,278,82,34,32,69,94,309,425,537,260,222,122,132,2315
LGA56300,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,0,0,5,0,3,0,0,0,6,15,10,4,0,0,5,28,21,30,3,8,6,13,132
LGA56370,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,0,3,5,3,12,5,3,0,0,0,0,42
LGA56460,0,0,7,0,0,3,3,5,11,0,0,0,0,0,4,23,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,3,3,0,8,0,0,0,0,0,0,16,7,0,8,10,8,15,0,0,0,0,0,6,66,19,6,11,35,43,106,72,40,23,9,10,24,403
LGA56580,3,6,19,6,0,4,0,0,4,4,7,8,3,18,4,58,0,0,0,0,0,3,3,12,3,7,15,14,62,6,0,0,0,0,4,0,3,4,0,12,5,38,21,5,4,0,4,10,7,24,20,13,51,23,181,139,18,22,20,32,75,73,182,144,306,934,158,2115
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA56730,0,0,12,0,5,3,5,4,22,9,10,4,5,0,3,66,0,0,0,4,3,3,5,0,0,0,0,0,23,7,4,3,7,16,6,9,8,5,0,0,3,68,10,3,12,18,22,38,23,18,13,8,0,8,174,47,27,41,69,85,248,225,213,108,66,32,48,1209
LGA56790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,12,0,0,0,4,0,3,0,3,7,0,0,0,19,15,11,4,9,15,40,30,32,14,13,11,14,212
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
LGA56930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,10,0,0,0,0,0,3,7,0,10,73,14,132
LGA57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,3,4,0,0,0,0,22
LGA57080,0,0,4,0,0,3,0,0,3,8,14,4,9,4,0,37,3,0,0,0,0,5,4,4,8,5,0,0,27,6,0,0,0,0,7,3,6,3,8,0,6,44,7,6,5,0,0,13,20,19,10,18,11,7,113,57,15,9,16,27,129,175,242,154,170,152,65,1216
LGA57140,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,15,11,5,0,11,6,14,7,4,0,3,6,5,77
LGA57210,0,0,4,0,0,0,3,5,6,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,4,0,4,3,0,0,0,0,3,19,0,0,5,12,8,11,5,7,0,0,0,0,51,33,13,22,40,35,122,90,68,26,9,11,30,494
LGA57280,0,0,8,0,0,0,0,7,5,3,8,6,5,3,3,44,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,6,0,0,4,3,0,0,0,15,3,0,0,0,10,16,5,16,9,8,6,5,66,16,19,13,44,59,123,109,107,50,60,53,44,704
LGA57350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,7,6,0,3,9,8,4,10,3,0,0,0,0,43
LGA57420,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,4,0,0,0,0,8,14,6,9,3,11,23,11,9,0,3,0,0,93
LGA57490,3,10,240,35,20,14,29,50,201,302,297,92,46,25,73,1173,14,12,8,15,9,73,87,73,9,12,4,14,336,33,19,26,46,50,148,165,122,25,27,12,57,732,84,50,47,92,122,469,609,544,152,99,51,157,2483,534,257,209,408,567,2790,4454,5517,1931,1186,719,1084,19651
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,0,8,48,13,0,5,5,11,53,74,80,29,26,4,24,328,0,0,0,0,3,14,6,20,7,3,0,3,69,7,0,7,4,7,27,34,34,14,13,9,11,164,23,6,7,12,20,110,130,139,62,39,18,42,606,139,42,44,58,132,590,1127,1723,824,549,318,271,5812
LGA57770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,3,9,0,0,0,0,40
LGA57840,3,0,27,9,0,5,0,4,12,18,23,16,10,20,4,117,9,0,0,0,0,10,5,14,6,12,11,0,77,18,9,0,5,6,14,13,14,5,12,17,8,105,32,10,7,10,8,35,37,65,28,41,51,19,335,213,46,41,76,71,278,356,670,522,630,833,224,3946
LGA57910,21,11,228,44,18,17,32,40,143,215,239,97,76,62,53,1027,20,14,14,24,28,94,97,107,38,53,37,31,553,59,26,20,39,54,142,130,128,44,49,34,55,784,137,48,59,106,135,411,486,525,199,202,148,147,2591,1053,298,284,501,702,2509,3327,5025,2963,3431,2815,1334,24245
LGA57980,0,0,14,0,0,0,0,3,3,5,8,3,7,14,0,48,7,3,0,0,0,6,4,6,3,8,3,3,48,0,0,5,0,0,0,0,6,0,0,8,3,30,7,7,5,7,4,10,16,28,8,14,30,5,135,69,21,11,23,25,88,115,175,133,260,428,58,1408
LGA58050,12,13,281,46,13,11,13,59,224,293,348,119,60,24,67,1282,21,5,8,18,28,93,96,87,38,28,7,29,456,54,28,23,36,64,190,192,221,60,47,28,58,1016,129,48,41,82,167,557,647,734,234,159,71,169,3031,714,260,223,381,671,2906,4943,7139,2935,1821,1081,1255,24330
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,13
LGA58260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,23
LGA58330,0,0,8,0,0,0,0,3,7,7,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,5,7,3,0,0,0,5,4,24,4,0,3,4,3,14,14,4,0,3,4,4,62,25,12,11,24,35,85,128,107,54,35,23,35,578
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,3,0,0,0,0,0,0,17
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA58510,0,5,21,4,0,6,0,3,16,24,26,16,6,4,3,113,6,6,0,3,0,8,12,16,6,9,3,0,69,4,3,3,0,4,14,10,18,8,11,10,6,89,11,7,6,7,12,43,52,62,32,27,15,14,299,127,46,28,64,74,333,500,821,523,456,266,148,3382
LGA58540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,3,0,0,4,0,0,0,3,9,48
LGA58570,0,4,33,10,0,4,0,8,12,17,19,21,11,15,8,116,5,0,0,0,0,9,12,16,10,11,9,9,68,7,0,3,3,8,9,11,7,10,9,6,5,75,29,0,5,6,12,33,35,52,38,39,32,21,294,136,43,31,53,95,252,340,641,535,686,627,154,3592
LGA58610,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,9,3,0,0,4,0,6,5,0,0,0,0,0,22,16,6,10,21,15,21,20,12,3,5,0,3,130
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,8,12,7,5,0,4,0,44
LGA58760,14,20,391,45,29,12,49,72,253,429,492,152,92,45,85,1757,21,12,9,27,31,137,162,151,36,30,25,41,679,75,29,37,50,80,278,260,256,102,54,22,88,1333,147,72,59,147,204,731,944,1008,334,186,97,234,4164,989,338,324,580,938,3712,6506,10038,4332,2593,1465,1846,33658
LGA58820,0,0,5,0,0,0,0,0,6,4,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,4,17,3,0,3,0,3,8,5,4,3,0,0,5,49,16,3,17,12,29,82,101,101,44,37,21,27,483
LGA58890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,7,8,0,5,5,9,12,3,3,0,0,0,4,42
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,10
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,3,0,5,3,0,0,3,39
LGA59170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,5,3,4,13,13,11,3,6,0,7,65
LGA59250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59310,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,4,0,0,5,6,0,0,0,0,0,0,20,13,8,3,8,9,16,13,0,6,0,3,3,83
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,3,3,4,6,5,0,0,0,0,23
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,20
LGA59340,0,0,0,0,0,0,0,0,6,0,4,4,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,5,20,4,0,4,5,16,36,32,54,27,24,32,20,269
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3
LGA59360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5,3,4,7,10,11,9,3,0,0,0,0,10,50
LGA59370,0,0,0,0,0,0,0,0,5,3,4,0,0,0,5,21,0,0,0,0,3,0,0,6,0,0,0,0,7,0,0,0,0,0,10,0,4,5,0,0,0,19,0,0,0,0,5,12,5,4,5,0,0,3,43,19,8,4,15,25,68,74,59,19,11,10,18,324
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,0,0,9,5,0,0,4,3,16,0,4,0,0,0,0,29,0,0,0,0,0,9,0,0,0,0,0,0,9,0,4,0,3,0,12,0,0,0,0,0,0,22,4,9,0,9,7,29,6,4,0,0,0,7,71,25,40,30,51,56,143,66,48,14,14,4,30,521
LGA60410,0,0,26,4,6,3,8,25,55,48,13,5,7,0,8,189,0,0,0,6,3,16,12,0,0,0,0,0,47,7,7,6,16,13,18,20,8,0,0,0,3,102,20,10,9,31,48,96,83,23,10,11,0,15,358,77,51,49,143,189,538,588,429,102,70,28,93,2349
LGA60610,0,0,26,0,0,7,11,22,38,15,12,0,0,0,0,112,3,0,0,5,3,13,0,4,0,0,0,0,31,5,5,7,12,16,19,8,3,0,0,0,7,96,11,11,20,33,53,80,25,20,0,0,0,13,259,79,61,68,179,273,595,371,219,65,41,35,86,2082
LGA60810,0,6,30,0,0,4,19,19,61,28,4,5,0,0,10,160,5,4,3,10,5,21,11,0,0,0,3,3,58,12,6,6,7,12,20,11,8,0,0,0,10,88,16,13,18,39,34,115,54,15,6,0,3,22,332,114,68,84,187,245,724,490,333,86,78,39,118,2557
LGA61010,0,0,4,0,0,0,5,5,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,5,6,6,0,0,0,0,0,0,20,3,16,14,29,32,46,19,7,7,3,3,15,192
LGA61210,0,0,13,0,0,4,4,3,5,5,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,5,3,3,8,4,0,0,0,0,0,36,4,4,19,11,12,21,18,9,0,5,0,4,98,38,28,49,72,107,220,126,79,22,20,17,39,819
LGA61410,6,5,111,9,10,10,25,35,114,118,65,20,10,4,28,440,12,6,0,10,10,35,41,16,10,0,5,14,164,33,10,19,31,38,77,46,40,9,12,4,26,336,54,33,32,73,97,247,229,141,40,28,15,63,1050,332,157,162,306,422,1289,1465,1566,626,413,286,296,7323
LGA61510,0,0,20,4,4,3,11,14,29,17,9,0,0,0,5,92,0,0,0,3,3,9,7,0,0,0,0,0,23,3,0,0,11,3,22,7,7,0,0,0,7,65,9,7,4,21,22,65,39,17,0,0,0,15,203,51,46,47,102,150,404,300,164,46,19,12,57,1390
LGA61610,0,0,41,0,5,7,12,31,48,29,12,9,4,3,9,171,0,4,0,9,6,22,6,0,3,3,0,8,65,11,10,10,8,16,38,13,4,0,0,0,9,121,11,19,24,27,63,128,58,21,9,5,0,28,396,94,89,89,176,306,811,496,294,90,64,39,111,2661
